S,family,base,strategy,n_DMC,n_bank,min_mean,bks_per_dmc,bank8,maxload,minload,note
1MiB,grain512,0x200,low,1,1,1.0000,1-1,1,8192,8192,
1MiB,grain512,0x400,low,1,1,1.0000,1-1,1,8192,8192,
1MiB,grain512,0x600,low,1,1,1.0000,1-1,1,8192,8192,
1MiB,grain512,0xe00,low,1,1,1.0000,1-1,1,8192,8192,
1MiB,grain512,0x1e00,low,1,1,1.0000,1-1,1,8192,8192,
1MiB,grain512,0x3e00,low,1,1,1.0000,1-1,1,8192,8192,
1MiB,grain512,0x7e00,low,1,1,1.0000,1-1,1,8192,8192,
1MiB,grain512,0x0,high,384,384,0.9375,1-1,1,22,20,
1MiB,grain512,0x200,high,384,384,0.9375,1-1,1,22,20,
1MiB,grain512,0x400,high,384,384,0.9375,1-1,1,22,20,
1MiB,grain512,0x600,high,384,384,0.9375,1-1,1,22,20,
1MiB,grain512,0xe00,high,384,384,0.9375,1-1,1,22,20,
1MiB,grain512,0x1e00,high,384,384,0.9375,1-1,1,22,20,
1MiB,grain512,0x3e00,high,384,384,0.9375,1-1,1,22,20,
1MiB,grain512,0x7e00,high,384,384,0.9375,1-1,1,22,20,
1MiB,grain512,0x0,shear,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x200,shear,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x400,shear,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x600,shear,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0xe00,shear,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x1e00,shear,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x3e00,shear,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x7e00,shear,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x0,sbox,2,2,1.0000,1-1,1,4096,4096,
1MiB,grain512,0x200,sbox,2,2,1.0000,1-1,1,4096,4096,
1MiB,grain512,0x400,sbox,2,2,1.0000,1-1,1,4096,4096,
1MiB,grain512,0x600,sbox,2,2,1.0000,1-1,1,4096,4096,
1MiB,grain512,0xe00,sbox,2,2,1.0000,1-1,1,4096,4096,
1MiB,grain512,0x1e00,sbox,2,2,1.0000,1-1,1,4096,4096,
1MiB,grain512,0x3e00,sbox,2,2,1.0000,1-1,1,4096,4096,
1MiB,grain512,0x7e00,sbox,2,2,1.0000,1-1,1,4096,4096,
1MiB,grain512,REL_DIFF,sns,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
1MiB,grain512,REL_DIFF,mod384,3.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
1MiB,grain512,REL_DIFF,low,1.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
1MiB,grain512,REL_DIFF,high,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
1MiB,grain512,REL_DIFF,shear,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
1MiB,grain512,REL_DIFF,sbox,2.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
1MiB,align2MiB,0x0,sns,384,2304,0.9375,6-6,1,22,20,
1MiB,align2MiB,0x200000,sns,384,2304,0.9377,6-6,1,22,20,
1MiB,align2MiB,0x400000,sns,384,2304,0.9380,6-6,1,22,20,
1MiB,align2MiB,0x600000,sns,384,2304,0.9382,6-6,1,22,20,
1MiB,align2MiB,0x0,mod384,3,3,0.9998,1-1,1,2731,2730,
1MiB,align2MiB,0x200000,mod384,3,3,1.0000,1-1,1,2730,2730,
1MiB,align2MiB,0x400000,mod384,3,3,0.9999,1-1,1,2730,2729,
1MiB,align2MiB,0x600000,mod384,3,3,0.9998,1-1,1,2729,2728,
1MiB,align2MiB,0x0,low,1,1,1.0000,1-1,1,8192,8192,
1MiB,align2MiB,0x200000,low,1,1,1.0000,1-1,1,8190,8190,
1MiB,align2MiB,0x400000,low,1,1,1.0000,1-1,1,8188,8188,
1MiB,align2MiB,0x600000,low,1,1,1.0000,1-1,1,8186,8186,
